,CNH,CNY,Basis
3/26/2021, 6.54 , ¥6.54 ,0.0048
3/29/2021, 6.57 , ¥6.57 ,-0.0067
3/30/2021, 6.57 , ¥6.57 ,-0.0006
3/31/2021, 6.56 , ¥6.55 ,-0.0109
4/1/2021, 6.57 , ¥6.56 ,-0.01
4/2/2021, 6.58 , ¥6.56 ,-0.0117
4/5/2021, 6.56 , ¥6.56 ,0.0081
4/6/2021, 6.54 , ¥6.54 ,-0.0039
4/7/2021, 6.55 , ¥6.54 ,-0.0064
4/8/2021, 6.56 , ¥6.55 ,-0.0046
4/9/2021, 6.56 , ¥6.55 ,-0.005
4/12/2021, 6.55 , ¥6.54 ,-0.0026
4/13/2021, 6.54 , ¥6.54 ,0.0002
4/14/2021, 6.53 , ¥6.53 ,-0.0004
4/15/2021, 6.53 , ¥6.52 ,-0.0039
4/16/2021, 6.53 , ¥6.52 ,-0.0048
4/19/2021, 6.51 , ¥6.51 ,0.0003
4/20/2021, 6.50 , ¥6.50 ,-0.0004
4/21/2021, 6.49 , ¥6.49 ,0.0019
4/22/2021, 6.49 , ¥6.49 ,-0.0031
4/23/2021, 6.49 , ¥6.49 ,0.0053
4/25/2021, 6.49 , ¥6.49 ,0.0062
4/26/2021, 6.47 , ¥6.48 ,0.0138
4/27/2021, 6.48 , ¥6.48 ,0.0034
4/28/2021, 6.48 , ¥6.48 ,0.0016
4/29/2021, 6.46 , ¥6.47 ,0.0082
4/30/2021, 6.47 , ¥6.47 ,0.0006
5/3/2021, 6.47 , ¥6.47 ,0.0037
5/4/2021, 6.48 , ¥6.47 ,-0.0091
5/5/2021, 6.49 , ¥6.47 ,-0.0129
5/6/2021, 6.46 , ¥6.46 ,-0.0047
5/7/2021, 6.42 , ¥6.43 ,0.016
5/8/2021, 6.41 , ¥6.43 ,0.0178
5/10/2021, 6.42 , ¥6.42 ,-0.005
5/11/2021, 6.43 , ¥6.43 ,0.0017
5/12/2021, 6.46 , ¥6.46 ,-0.0025
5/13/2021, 6.45 , ¥6.45 ,0.005
5/14/2021, 6.44 , ¥6.44 ,-0.0009
5/17/2021, 6.44 , ¥6.44 ,-0.0021
5/18/2021, 6.42 , ¥6.43 ,0.0024
5/19/2021, 6.44 , ¥6.43 ,-0.0037
5/20/2021, 6.43 , ¥6.43 ,0.0025
5/21/2021, 6.43 , ¥6.43 ,-0.0005
5/24/2021, 6.41 , ¥6.42 ,0.0098
5/25/2021, 6.41 , ¥6.41 ,-0.0012
5/26/2021, 6.38 , ¥6.39 ,0.012
5/27/2021, 6.37 , ¥6.38 ,0.0126
5/28/2021, 6.36 , ¥6.37 ,0.0089
5/31/2021, 6.37 , ¥6.37 ,-0.0009
6/1/2021, 6.38 , ¥6.38 ,-0.0021
6/2/2021, 6.38 , ¥6.38 ,-0.0024
6/3/2021, 6.40 , ¥6.40 ,0.0062
6/4/2021, 6.39 , ¥6.39 ,0.0058
6/7/2021, 6.39 , ¥6.40 ,0.0113
6/8/2021, 6.40 , ¥6.40 ,0.002
