Date,VAS.AX,VGS.AX,VAP.AX,VGB.AX,VBND.AX,Cash
10/12/2017,0.003443901,0,0.001091306,0.00023546,0.001231831,0
10/13/2017,0.005238439,0,0.001090116,0.001412429,0,9.95025E-05
10/16/2017,0.004132974,0,-0.002540835,0.004231312,0,9.94926E-05
10/17/2017,0.008052971,0,0.006186317,-0.003511236,0,9.94827E-05
10/18/2017,-0.000355051,0,0.009403255,0.002349072,0,0
10/19/2017,0,0,-0.001612325,-0.00210921,0,0
10/20/2017,0.00213106,0,0.001973802,0.000469704,0,9.94728E-05
10/23/2017,-0.002126528,0,-0.012535817,-0.002112676,0,9.94629E-05
10/24/2017,0.00106553,0,0.002901705,0.000940955,0,9.9453E-05
10/25/2017,0.000532198,0,0.0079566,0.002115159,0.000246063,0
10/26/2017,0.002659574,0,0.005202727,0.000703565,0,9.94431E-05
10/27/2017,-0.00265252,0.012345679,-0.003034089,-0.00070307,-0.001476015,0
10/30/2017,0.002659574,-0.012195122,-0.002864304,0.001876173,0.002463661,9.94332E-05
10/31/2017,-0.001591512,0.012345679,0.007540395,0.003277154,0,-0.001590774
11/1/2017,0.004782147,0,0.001069138,-0.001166589,0,0
11/2/2017,-0.000705094,0,-0.005695977,0.002335903,0,0
11/3/2017,0.004057153,0,0.00698174,0.002796551,0,9.95818E-05
11/6/2017,-0.000702741,0,-0.000888889,0.001394376,0,9.95718E-05
11/7/2017,0.011075949,0,0.012811388,-0.001624507,0,0
11/8/2017,0,0,0.005973296,0.00162715,0.005406734,9.95619E-05
11/9/2017,0.007303078,0,0.011351729,-0.002088652,0,0
11/10/2017,-0.003625065,0,0.01087895,0.000465116,0,9.9552E-05
11/13/2017,0.003118503,0,0.001366587,-0.00116225,0,9.95421E-05
11/14/2017,-0.00984456,-0.012195122,-0.011600136,-0.001629044,-0.00488878,0
11/15/2017,-0.004360719,0,-0.005005178,0.002331002,0,9.95322E-05
11/16/2017,0.000875964,0,-0.001214224,0.000697674,0.002456399,0
11/17/2017,0.002100473,0,0.000347343,0.00116198,0,0
11/20/2017,-0.001746725,0,0.001736111,0.000464253,0,0.000199045
11/21/2017,0.003149606,0.012345679,0.00034662,0.000696056,0,0
11/22/2017,0.003488575,0,0.002945253,0.001623,0.001470228,0
11/24/2017,-0.000869112,0,-0.000518224,0.000925926,0.000734035,9.95025E-05
11/27/2017,0.001739736,0,0.004147943,-0.000231267,0,0.000198985
11/28/2017,-0.0012157,0.012195122,0.009810671,0,0.000733496,0
11/29/2017,0.004173187,0,0,0.001619246,0,9.94728E-05
11/30/2017,-0.006233766,0,0.00664735,0.000461894,-0.004153433,-0.001193555
12/1/2017,0.003659174,0,0.000507958,-0.003693444,0,0
