country,time,expectancy,linc,infmr,sratio,emiss,ferti
alb,0,76.4334,8.607947554684701,35.1,103.63,1.71044,2.98
alb,1,76.6308,8.266164436612492,33.7,102.966,1.39214,2.91
alb,2,76.9718,8.181720455128108,32.5,102.2876,0.87542,2.83
alb,3,77.1176,8.265907334155747,31.4,101.6077,0.82354,2.75
alb,4,77.2579,8.33758794211651,30.3,100.9513,0.72922,2.67
alb,5,77.511,8.455955881945048,29.1,100.3318,0.79174,2.59
alb,6,77.7464,8.53895468319775,27.9,99.7672,0.92639,2.51
alb,7,77.3164,8.427487278331744,26.8,99.2572,0.70698,2.42
alb,8,78.0214,8.543055850941965,25.5,98.8348,0.80836,2.33
alb,9,78.2091,8.634620608292202,24.4,98.5264,1.17824,2.25
alb,10,78.4187,8.700347734514084,23.2,98.3273,1.20167,2.16
alb,11,78.6178,8.765146421639022,22.1,98.2577,1.28371,2.07
alb,12,78.8228,8.79346036105272,21,98.312,1.63059,1.98
alb,13,79.0574,8.846496938558838,20,98.469,1.80474,1.9
alb,14,79.2365,8.898638793680181,19.1,98.6973,1.72557,1.82
alb,15,79.4934,8.947025655972697,18.3,98.9647,1.85854,1.75
alb,16,79.6856,8.998384010052538,17.4,99.2484,1.7741,1.7
alb,17,80.2472,9.051110146405625,16.7,99.5449,1.81318,1.67
alb,18,80.4292,9.117347505127018,16,99.8399,2.04305,1.65
alb,19,80.5443,9.146015161419625,15.4,100.1068,2.14426,1.65
alb,20,80.6878,9.1754383199669185,14.8,100.3304,2.08418,1.65
alb,21,80.798,9.199986959896691,14.3,100.4932,2.1696,1.67
alb,22,80.7025,9.222268942841456,13.8,100.5929,2.08094,1.69
alb,23,80.7812,9.239899174217728,13.3,100.6397,2.02322,1.7
alb,24,81.0125,9.265775078864284,12.9,100.6513,2.17371,1.71
alb,25,81.1825,9.302919553269277,12.5,100.6322,1.95866,1.71
are,0,74.9219,11.658755913181768,14.1,202.2401,30.21432,4.45
are,1,75.0396,11.612770799939945,13.4,203.3086,31.46644,4.25
are,2,74.9904,11.592660432989081,12.8,204.3141,30.94488,4.04
are,3,75.5239,11.55214617812351,12.2,205.2735,31.42104,3.83
are,4,75.5946,11.568360171858329,11.7,206.2074,32.76157,3.62
are,5,75.6335,11.58338392861879,11.2,207.1862,31.1491,3.42
are,6,75.3433,11.588032937457033,10.8,208.8553,30.7637,3.23
are,7,75.5336,11.611865412825132,10.5,210.9543,29.52236,3.06
are,8,75.6761,11.560762794384388,10.1,212.75,32.70829,2.91
are,9,76.1929,11.540540632003202,9.8,214.2872,26.97959,2.77
are,10,76.6172,11.598185308921051,9.6,215.6201,34.29795,2.64
